Funcao hash,Tamanho da tabela,Numero de elementos,Chave,Tempo(ns),Comparacoes
Divisao,500000,5000000,793144713,305000,0
Divisao,500000,5000000,581551030,200100,0
Divisao,500000,5000000,316201999,185000,0
Divisao,500000,5000000,87567398,146000,0
Divisao,500000,5000000,568411206,110900,0
Divisao,500000,5000000,61693151,148700,0
Divisao,500000,5000000,936150174,141300,8
Divisao,500000,5000000,460033506,179900,5
Divisao,500000,5000000,986746453,135500,11
Divisao,500000,5000000,608245275,192200,2
Divisao,500000,5000000,804928231,152900,7
Divisao,500000,5000000,855625573,133900,8
Divisao,500000,5000000,151362367,176000,2
Multiplicacao,500000,5000000,793144713,359400,106
Multiplicacao,500000,5000000,581551030,172000,218
Multiplicacao,500000,5000000,316201999,142200,126
Multiplicacao,500000,5000000,87567398,155600,33
Multiplicacao,500000,5000000,568411206,106900,142
Multiplicacao,500000,5000000,61693151,128000,25
Multiplicacao,500000,5000000,936150174,138600,191
Multiplicacao,500000,5000000,460033506,133300,180
Multiplicacao,500000,5000000,986746453,108800,290
Multiplicacao,500000,5000000,608245275,131900,253
Multiplicacao,500000,5000000,804928231,106800,229
Multiplicacao,500000,5000000,855625573,105600,63
Multiplicacao,500000,5000000,151362367,129400,50
Raiz,500000,5000000,793144713,299600,0
Raiz,500000,5000000,581551030,142900,0
Raiz,500000,5000000,316201999,98200,0
Raiz,500000,5000000,87567398,224200,3
Raiz,500000,5000000,568411206,127800,0
Raiz,500000,5000000,61693151,96200,0
Raiz,500000,5000000,936150174,183900,8
Raiz,500000,5000000,460033506,126800,0
Raiz,500000,5000000,986746453,190400,14
Raiz,500000,5000000,608245275,136300,3
Raiz,500000,5000000,804928231,96800,3
Raiz,500000,5000000,855625573,109700,9
Raiz,500000,5000000,151362367,95800,1
