Funcao hash,Tamanho da tabela,Numero de elementos,Chave,Tempo(ns),Comparacoes
Divisao,500000,500000,793144713,2578500,0
Divisao,500000,500000,581551030,196800,0
Divisao,500000,500000,316201999,149500,0
Divisao,500000,500000,87567398,139200,0
Divisao,500000,500000,568411206,140800,0
Divisao,500000,500000,61693151,137800,0
Divisao,500000,500000,936150174,158700,1
Divisao,500000,500000,460033506,188300,1
Divisao,500000,500000,986746453,42500,-1
Divisao,500000,500000,608245275,14000,-1
Divisao,500000,500000,804928231,15200,-1
Divisao,500000,500000,855625573,14100,-1
Divisao,500000,500000,151362367,13000,-1
Multiplicacao,500000,500000,793144713,220500,9
Multiplicacao,500000,500000,581551030,265300,28
Multiplicacao,500000,500000,316201999,340600,8
Multiplicacao,500000,500000,87567398,165800,3
Multiplicacao,500000,500000,568411206,166100,14
Multiplicacao,500000,500000,61693151,135500,4
Multiplicacao,500000,500000,936150174,143600,14
Multiplicacao,500000,500000,460033506,141800,10
Multiplicacao,500000,500000,986746453,20900,-1
Multiplicacao,500000,500000,608245275,16100,-1
Multiplicacao,500000,500000,804928231,14500,-1
Multiplicacao,500000,500000,855625573,13900,-1
Multiplicacao,500000,500000,151362367,17300,-1
Raiz,500000,500000,793144713,258200,0
Raiz,500000,500000,581551030,365600,0
Raiz,500000,500000,316201999,344200,0
Raiz,500000,500000,87567398,138500,1
Raiz,500000,500000,568411206,201800,0
Raiz,500000,500000,61693151,149200,0
Raiz,500000,500000,936150174,127900,2
Raiz,500000,500000,460033506,148700,0
Raiz,500000,500000,986746453,13100,-1
Raiz,500000,500000,608245275,13700,-1
Raiz,500000,500000,804928231,11300,-1
Raiz,500000,500000,855625573,13400,-1
Raiz,500000,500000,151362367,10400,-1
