Funcao hash,Tamanho da tabela,Numero de elementos,Tempo(ns),Colisoes
Divisao,1000,20000,3496600,108803
Divisao,1000,100000,66668900,2548092
Divisao,1000,500000,1262111800,62729977
Divisao,1000,1000000,4294516000,250724345
Divisao,1000,5000000,89297639600,6249955237
Divisao,10000,20000,612300,15683
Divisao,10000,100000,6732400,296141
Divisao,10000,500000,306473800,6499803
Divisao,10000,1000000,746092300,25525325
Divisao,10000,5000000,13189544500,627315253
Divisao,50000,20000,392600,3682
Divisao,50000,100000,3587600,78358
Divisao,50000,500000,71624700,1473259
Divisao,50000,1000000,365228500,5476521
Divisao,50000,5000000,5431074400,127420170
Divisao,100000,20000,421400,1878
Divisao,100000,100000,3149300,43535
Divisao,100000,500000,46807200,824041
Divisao,100000,1000000,251750900,2948722
Divisao,100000,5000000,2911929400,64923725
Divisao,500000,20000,518900,374
Divisao,500000,100000,3209300,9552
Divisao,500000,500000,27895200,217013
Divisao,500000,1000000,84729200,783349
Divisao,500000,5000000,1514532400,14745350
Multiplicacao,1000,20000,5097000,108916
Multiplicacao,1000,100000,50006500,2550269
Multiplicacao,1000,500000,1111218300,62796884
Multiplicacao,1000,1000000,12986469100,250943816
Multiplicacao,1000,5000000,212746044900,6254176194
Multiplicacao,10000,20000,4041300,16210
Multiplicacao,10000,100000,28624000,313648
Multiplicacao,10000,500000,491620700,6944690
Multiplicacao,10000,1000000,1761111500,27338634
Multiplicacao,10000,5000000,29155674700,672703111
Multiplicacao,50000,20000,2954300,9455
Multiplicacao,50000,100000,18289700,181341
Multiplicacao,50000,500000,208921700,3775381
Multiplicacao,50000,1000000,937727200,14651283
Multiplicacao,50000,5000000,16612834200,356228912
Multiplicacao,100000,20000,2934000,9455
Multiplicacao,100000,100000,18134900,181341
Multiplicacao,100000,500000,215404600,3775381
Multiplicacao,100000,1000000,755413500,14651283
Multiplicacao,100000,5000000,10878490600,356228912
Multiplicacao,500000,20000,3561800,9455
Multiplicacao,500000,100000,22844400,181341
Multiplicacao,500000,500000,259121000,3775381
Multiplicacao,500000,1000000,998617600,14651283
Multiplicacao,500000,5000000,18110103500,356228912
Raiz,1000,20000,2880000,109270
Raiz,1000,100000,41096400,2547700
Raiz,1000,500000,1999725500,62758165
Raiz,1000,1000000,12732204800,250771443
Raiz,1000,5000000,193212184500,6250065249
Raiz,10000,20000,1970200,15606
Raiz,10000,100000,14267800,295287
Raiz,10000,500000,261000400,6499406
Raiz,10000,1000000,1457815300,25530542
Raiz,10000,5000000,24999208100,627283469
Raiz,50000,20000,1813900,3765
Raiz,50000,100000,11078300,78345
Raiz,50000,500000,113619400,1475784
Raiz,50000,1000000,398564200,5481441
Raiz,50000,5000000,5401493700,127434249
Raiz,100000,20000,1884500,1995
Raiz,100000,100000,10032300,43332
Raiz,100000,500000,87320800,826744
Raiz,100000,1000000,353091500,2953912
Raiz,100000,5000000,3792506700,64937849
Raiz,500000,20000,3525600,386
Raiz,500000,100000,11521900,9741
Raiz,500000,500000,70369900,217194
Raiz,500000,1000000,187383800,785757
Raiz,500000,5000000,1945885700,14763135
