Funcao hash,Tamanho da tabela,Numero de elementos,Tempo(ns),Colisoes
Divisao,1000,1000,392100,431
Divisao,10000,10000,1028500,4371
Divisao,50000,50000,4616700,21563
Divisao,100000,100000,5901000,43535
Divisao,500000,500000,52032000,217013
Multiplicacao,1000,1000,381800,411
Multiplicacao,10000,10000,2032400,4535
Multiplicacao,50000,50000,11092300,51395
Multiplicacao,100000,100000,39036700,181341
Multiplicacao,500000,500000,300976500,3775381
Raiz,1000,1000,345300,430
Raiz,10000,10000,1378300,4429
Raiz,50000,50000,7023300,21794
Raiz,100000,100000,13910400,43332
Raiz,500000,500000,96825100,217194
