Funcao hash,Tamanho da tabela,Numero de elementos,Chave,Tempo(ns),Comparacoes
Divisao,500000,500000,793144713,5648900,396352
Divisao,500000,500000,581551030,186300,1
Divisao,500000,500000,316201999,119400,1
Divisao,500000,500000,87567398,153600,1
Divisao,500000,500000,568411206,118500,1
Divisao,500000,500000,61693151,114400,1
Divisao,500000,500000,936150174,107100,2
Divisao,500000,500000,460033506,141500,6
Divisao,500000,500000,986746453,522300,-1
Divisao,500000,500000,608245275,2464300,-1
Divisao,500000,500000,804928231,2448500,-1
Divisao,500000,500000,855625573,2451000,-1
Divisao,500000,500000,151362367,425600,-1
Multiplicacao,500000,500000,793144713,241500,31364
Multiplicacao,500000,500000,581551030,116200,2
Multiplicacao,500000,500000,316201999,144200,5
Multiplicacao,500000,500000,87567398,118400,3
Multiplicacao,500000,500000,568411206,122000,1
Multiplicacao,500000,500000,61693151,126900,1
Multiplicacao,500000,500000,936150174,170600,2
Multiplicacao,500000,500000,460033506,103100,4
Multiplicacao,500000,500000,986746453,517700,-1
Multiplicacao,500000,500000,608245275,494400,-1
Multiplicacao,500000,500000,804928231,495800,-1
Multiplicacao,500000,500000,855625573,473600,-1
Multiplicacao,500000,500000,151362367,485000,-1
Raiz,500000,500000,793144713,242700,55085
Raiz,500000,500000,581551030,101800,1
Raiz,500000,500000,316201999,101100,1
Raiz,500000,500000,87567398,100000,2
Raiz,500000,500000,568411206,97200,1
Raiz,500000,500000,61693151,181600,1
Raiz,500000,500000,936150174,217800,4
Raiz,500000,500000,460033506,106900,1
Raiz,500000,500000,986746453,463500,-1
Raiz,500000,500000,608245275,469300,-1
Raiz,500000,500000,804928231,450600,-1
Raiz,500000,500000,855625573,428100,-1
Raiz,500000,500000,151362367,436400,-1
