Funcao hash,Tamanho da tabela,Numero de elementos,Tempo(ns),Colisoes
Divisao,1000,1000,658100,14134
Divisao,10000,10000,2334200,564161
Divisao,50000,50000,5948900,4548872
Divisao,100000,100000,16540300,19342025
Divisao,500000,500000,313192300,383139045
Multiplicacao,1000,1000,731900,20820
Multiplicacao,10000,10000,5506700,887489
Multiplicacao,50000,50000,13468400,7297159
Multiplicacao,100000,100000,36899300,27386563
Multiplicacao,500000,500000,203935200,142955419
Raiz,1000,1000,429900,17038
Raiz,10000,10000,4509100,675183
Raiz,50000,50000,13466500,11114434
Raiz,100000,100000,32417000,29227376
Raiz,500000,500000,213378300,196346643
